Data;Preco
29/08/2017;R$ 3.63
30/08/2017;R$ 3.63
31/08/2017;R$ 3.63
01/09/2017;R$ 3.70
04/09/2017;R$ 3.65
05/09/2017;R$ 3.70
06/09/2017;R$ 3.74
07/09/2017;R$ 3.70
08/09/2017;R$ 3.74
11/09/2017;R$ 3.70
12/09/2017;R$ 3.71
13/09/2017;R$ 3.77
14/09/2017;R$ 3.75
15/09/2017;R$ 3.74
18/09/2017;R$ 3.69
19/09/2017;R$ 3.73
20/09/2017;R$ 3.76
21/09/2017;R$ 3.78
22/09/2017;R$ 3.79
25/09/2017;R$ 3.73
26/09/2017;R$ 3.70
27/09/2017;R$ 3.76
28/09/2017;R$ 3.72
29/09/2017;R$ 3.72
02/10/2017;R$ 3.69
03/10/2017;R$ 3.74
04/10/2017;R$ 3.72
05/10/2017;R$ 3.75
06/10/2017;R$ 3.75
09/10/2017;R$ 3.71
10/10/2017;R$ 3.71
11/10/2017;R$ 3.78
12/10/2017;R$ 3.72
13/10/2017;R$ 3.75
16/10/2017;R$ 3.71
17/10/2017;R$ 3.72
18/10/2017;R$ 3.75
19/10/2017;R$ 3.75
20/10/2017;R$ 3.81
23/10/2017;R$ 3.71
24/10/2017;R$ 3.73
25/10/2017;R$ 3.77
26/10/2017;R$ 3.75
27/10/2017;R$ 3.79
30/10/2017;R$ 3.74
31/10/2017;R$ 3.77
01/11/2017;R$ 3.81
02/11/2017;R$ 3.81
03/11/2017;R$ 3.82
06/11/2017;R$ 3.81
07/11/2017;R$ 3.80
08/11/2017;R$ 3.88
09/11/2017;R$ 3.90
10/11/2017;R$ 3.99
13/11/2017;R$ 3.88
14/11/2017;R$ 3.91
15/11/2017;R$ 3.88
16/11/2017;R$ 3.93
17/11/2017;R$ 3.98
20/11/2017;R$ 3.88
21/11/2017;R$ 3.92
22/11/2017;R$ 3.89
23/11/2017;R$ 3.94
24/11/2017;R$ 3.92
27/11/2017;R$ 3.93
28/11/2017;R$ 3.94
29/11/2017;R$ 3.92
30/11/2017;R$ 3.95
01/12/2017;R$ 3.90
04/12/2017;R$ 3.95
05/12/2017;R$ 3.92
06/12/2017;R$ 3.94
07/12/2017;R$ 3.95
08/12/2017;R$ 3.94
11/12/2017;R$ 3.93
